,0
0,Corymbia ficifolia :: Red Flowering Gum
1,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus
2,Lophostemon confertus :: Brisbane Box
3,Cupressus macrocarpa :: Monterey Cypress
4,Jacaranda mimosifolia :: Jacaranda
5,Acacia decurrens :: Acacia: Silver Wattle
6,Pyrus kawakamii :: Evergreen Pear
7,Melaleuca spp :: Melaleuca spp
8,Eriobotrya japonica :: Edible Loquat
9,Platanus x hispanica :: Sycamore: London Plane
10,Acacia baileyana :: Bailey's Acacia
11,Prunus cerasifera :: Cherry Plum
12,Pinus Spp :: Pine Spp
13,Pinus radiata :: Monterey Pine
14,Eucalyptus sideroxylon :: Red Ironbark
15,Acacia melanoxylon :: Blackwood Acacia
16,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood
17,Acer spp :: Maple
18,Pittosporum undulatum :: Victorian Box
19,Eucalyptus globulus :: Blue Gum
20,Acacia longifolia :: Golden Wattle
21,Eucalyptus Spp :: Eucalyptus
22,Pinus pinea :: Italian Stone Pine
23,Olea europaea :: Olive Tree
24,Liquidambar styraciflua :: American Sweet Gum
25,Phoenix canariensis :: Canary Island Date Palm
26,Tristaniopsis laurina :: Swamp Myrtle
27,Quercus agrifolia :: Coast Live Oak
28,Pyrus calleryana :: Ornamental Pear
29,Pseudotsuga menziesii :: Douglas Fir
30,Metrosideros excelsa :: New Zealand Xmas Tree
31,Magnolia grandiflora :: Southern Magnolia
32,Sequoia sempervirens :: Coast Redwood
33,Prunus blireiana :: Flowering Plum
34,Fraxinus velutina 'Glabra' :: Arizona Ash
35,Arecastrum romanzoffianum :: Queen Palm
36,Cordyline australis :: Dracena Palm
37,Cedrus deodara :: Deodar Cedar
38,Salix spp :: Willow
39,Acacia spp :: Acacia Spp
40,Acer rubrum :: Red Maple
41,Cedrus atlantica Glauca :: Blue Atlas Cedar
42,Populus nigra 'Italica' :: Lombardy Poplar
43,Prunus amygdalus :: Almond
44,Cupressocyparis leylandii :: Leyland Cypress
45,Geijera parviflora :: Australian Willow
46,Afrocarpus gracilior :: Fern Pine
47,Schinus terebinthifolius :: Brazilian Pepper
48,Prunus spp :: Cherry
49,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint
50,Ulmus parvifolia :: Chinese Elm
51,Sequoiadendron giganteum :: Sierra Redwood
52,Acacia stenophylla :: Shoestring Acacia
53,Pyrus calleryana 'Chanticleer' :: Ornamental Pear Tree 'Chanticleer'
54,Rhamnus alaternus :: Italian Buckthorn
